tahun,provinsi,kabupaten_kota,kecamatan,kelurahan,jenis_kelamin,jumlah
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,Laki-Laki,6340
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,Laki-Laki,6381
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,Laki-Laki,7797
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,CIPINANG,Laki-Laki,7454
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,Laki-Laki,5106
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,Laki-Laki,6697
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,Laki-Laki,7280
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,JATI,Laki-Laki,5748
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,Laki-Laki,5311
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,Laki-Laki,6660
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,BALI MESTER,Laki-Laki,1531
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,Laki-Laki,4299
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,Laki-Laki,5732
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,Laki-Laki,10760
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,Laki-Laki,7144
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,Laki-Laki,9616
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,Laki-Laki,6553
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,Laki-Laki,9324
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,DUKUH,Laki-Laki,5257
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,Laki-Laki,9971
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,Laki-Laki,6138
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,Laki-Laki,8019
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,CAWANG,Laki-Laki,6266
2020,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,GEDONG,Laki-Laki,7216
2020,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,BARU,Laki-Laki,5216
2020,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,Laki-Laki,8073
2020,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,KALISARI,Laki-Laki,8631
2020,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,PEKAYON,Laki-Laki,8739
2020,DKI Jakarta,JAKARTA TIMUR,CAKUNG,JATINEGARA,Laki-Laki,18131
2020,DKI Jakarta,JAKARTA TIMUR,CAKUNG,RAWA TERATE,Laki-Laki,5340
2020,DKI Jakarta,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,Laki-Laki,21038
2020,DKI Jakarta,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,Laki-Laki,12584
2020,DKI Jakarta,JAKARTA TIMUR,CAKUNG,PULO GEBANG,Laki-Laki,20423
2020,DKI Jakarta,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,Laki-Laki,6245
2020,DKI Jakarta,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,Laki-Laki,12977
2020,DKI Jakarta,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,Laki-Laki,11801
2020,DKI Jakarta,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,Laki-Laki,12047
2020,DKI Jakarta,JAKARTA TIMUR,DUREN SAWIT,KLENDER,Laki-Laki,14592
2020,DKI Jakarta,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,Laki-Laki,14150
2020,DKI Jakarta,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,Laki-Laki,5103
2020,DKI Jakarta,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,Laki-Laki,5924
2020,DKI Jakarta,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,Laki-Laki,7094
2020,DKI Jakarta,JAKARTA TIMUR,MAKASAR,MAKASAR,Laki-Laki,6843
2020,DKI Jakarta,JAKARTA TIMUR,MAKASAR,PINANG RANTI,Laki-Laki,5581
2020,DKI Jakarta,JAKARTA TIMUR,MAKASAR,KEBON PALA,Laki-Laki,9263
2020,DKI Jakarta,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,Laki-Laki,5601
2020,DKI Jakarta,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,Laki-Laki,8206
2020,DKI Jakarta,JAKARTA TIMUR,CIRACAS,CIRACAS,Laki-Laki,13085
2020,DKI Jakarta,JAKARTA TIMUR,CIRACAS,CIBUBUR,Laki-Laki,13205
2020,DKI Jakarta,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,Laki-Laki,9384
2020,DKI Jakarta,JAKARTA TIMUR,CIRACAS,SUSUKAN,Laki-Laki,7860
2020,DKI Jakarta,JAKARTA TIMUR,CIRACAS,RAMBUTAN,Laki-Laki,7674
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,Laki-Laki,5165
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,Laki-Laki,5788
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,Laki-Laki,5344
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,MUNJUL,Laki-Laki,4841
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,SETU,Laki-Laki,4333
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,Laki-Laki,5294
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,Laki-Laki,12934
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,CEGER,Laki-Laki,3931
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Perempuan,1175
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Perempuan,1237
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Perempuan,438
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Perempuan,416
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Perempuan,1053
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Perempuan,660
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,Perempuan,342
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,Perempuan,2376
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Perempuan,2874
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Perempuan,2417
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Perempuan,1590
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,Perempuan,3577
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Perempuan,1737
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Perempuan,4462
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Perempuan,3682
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Perempuan,2437
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Perempuan,4832
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Perempuan,3720
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Perempuan,5725
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Perempuan,4342
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,Perempuan,5573
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Perempuan,3264
