,Kabupaten_Kota,Kecamatan,Kelurahan,Kelamin,Pekerjaan,Jumlah
3177,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Pensiunan,181
3178,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Pegawai Negeri Sipil,485
3179,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Tentara Nasional Indonesia,36
3180,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Kepolisian RI,46
3181,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Perdagangan,10
3182,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Petani/Pekebun,7
3183,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Nelayan/Perikanan,2
3184,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Industri,9
3185,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Konstruksi,3
3186,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Transportasi,6
3187,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Karyawan Swasta,12960
3188,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Karyawan BUMN,49
3189,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Karyawan BUMD,2
3190,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Karyawan Honorer,41
3191,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Buruh Harian Lepas,1509
3192,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Buruh Tani/Perkebunan,1
3193,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Buruh Nelayan/Perikanan,1
3194,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Pembantu Rumah Tangga,0
3195,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Tukang Jahit,1
3196,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Mekanik,6
3197,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Seniman,5
3198,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Pendeta,20
3199,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Pastor,1
3200,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Wartawan,37
3201,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Ustadz/Mubaligh,1
3202,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Dosen,18
3203,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Guru,205
3204,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Pilot,2
3205,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Pengacara,10
3206,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Notaris,1
3207,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Arsitek,1
3208,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Konsultan,4
3209,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Dokter,35
3210,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Bidan,0
3211,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Perawat,1
3212,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Pelaut,3
3213,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Sopir,148
3214,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Pedagang,343
3215,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Wiraswasta,3977
3216,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Lainnya,27
3217,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Belum/Tidak Bekerja,96
3218,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Mengurus Rumah Tangga,8
3219,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Pelajar/Mahasiswa,252
3220,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Pensiunan,217
3221,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Pegawai Negeri Sipil,323
3222,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Tentara Nasional Indonesia,42
3223,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Kepolisian RI,60
3224,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Perdagangan,12
3225,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Petani/Pekebun,17
3226,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Nelayan/Perikanan,3
3227,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Industri,3
3228,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Konstruksi,5
3229,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Transportasi,9
3230,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Karyawan Swasta,15582
3231,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Karyawan BUMN,89
3232,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Karyawan BUMD,3
3233,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Karyawan Honorer,22
3234,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Buruh Harian Lepas,1555
3235,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Buruh Tani/Perkebunan,10
3236,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Pembantu Rumah Tangga,0
3237,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Tukang Las/Pandai Besi,1
3238,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Tukang Jahit,4
3239,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Penata Busana,0
3240,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Mekanik,7
3241,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Seniman,7
3242,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Pendeta,25
3243,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Pastor,1
3244,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Wartawan,37
3245,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Ustadz/Mubaligh,1
3246,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Dosen,25
3247,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Guru,381
3248,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Pilot,3
3249,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Pengacara,18
3250,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Notaris,3
3251,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Arsitek,1
3252,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Konsultan,3
3253,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Dokter,27
3254,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Bidan,0
3255,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Perawat,8
3256,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Apoteker,0
3257,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Pelaut,3
3258,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Sopir,159
3259,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Pedagang,603
3260,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Biarawan/Biarawati,0
3261,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Wiraswasta,5031
3262,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,LAKI-LAKI,Lainnya,34
3263,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,LAKI-LAKI,Belum/Tidak Bekerja,71
3264,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,LAKI-LAKI,Mengurus Rumah Tangga,8
3265,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,LAKI-LAKI,Pelajar/Mahasiswa,206
3266,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,LAKI-LAKI,Pensiunan,231
3267,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,LAKI-LAKI,Pegawai Negeri Sipil,147
3268,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,LAKI-LAKI,Tentara Nasional Indonesia,52
3269,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,LAKI-LAKI,Kepolisian RI,47
3270,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,LAKI-LAKI,Perdagangan,11
3271,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,LAKI-LAKI,Petani/Pekebun,21
3272,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,LAKI-LAKI,Nelayan/Perikanan,2
3273,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,LAKI-LAKI,Industri,7
